5,4.81,7.56
10,4.91,6.68
15,4.94,5.53
20,4.94,4.52
25,4.94,3.56
30,4.99,3.13
35,4.83,2.12
40,4.83,1.67
45,5.07,1.13
50,4.96,0.708
55,4.84,0.337
60,5.02,0.0525
65,5.03,0.356
70,4.89,0.668
75,4.97,0.950
80,5.07,1.22
85,4.95,1.44
90,4.94,1.70
95,5.06,1.91
100,5.00,2.16
150,4.96,3.84
200,4.94,4.94
250,4.94,5.74
300,4.88,6.21
350,4.90,6.63
400,4.94,7.00
450,4.96,7.23
500,4.94,7.34
550,4.80,7.41
600,4.97,7.52
650,4.98,7.65
700,4.83,7.74
750,4.91,7.78
800,4.99,7.78
850,4.88,7.81
900,4.87,7.88
950,4.98,7.93
1000,4.92,7.94
10000,4.83,8.16
20000,5.01,8.15
29400,4.88,8.15
40000,4.95,8.11
50000,4.95,8.09
60000,4.92,8.02
69400,4.97,8.07
79400,4.93,7.98
90000,4.95,7.99
100000,4.84,7.97
110000,5.05,7.90
120000,5.04,7.9
128000,4.86,7.82
143000,4.85,7.79
151000,5.00,7.73
159000,5.03,7.64
170000,4.90,7.57
180000,4.86,7.54
189000,4.97,7.49
200000,5.02,7.41
208000,4.94,7.31
219000,4.87,7.24
231000,4.94,7.20
240000,5.01,7.18
250000,4.95,7.02
260000,4.88,6.84
272000,4.93,6.80
284000,5.00,6.76
287000,4.96,6.59
301000,4.89,6.39
313000,4.92,6.28
321000,4.99,6.24
329000,4.98,6.12
338000,4.90,5.92
350000,4.80,5.81
360000,4.78,5.75
373000,4.77,5.62
379000,4.77,5.45
391000,4.80,5.32
400000,4.84,5.30
410000,4.89,5.27
417000,4.95,5.13
431000,5.07,5.07
439000,5.04,5.06
446000,5.07,5.02
459000,5.08,4.81
472000,5.06,4.73
481000,5.04,4.69
490000,4.99,4.60
500000,4.94,4.49
510000,4.90,4.39
521000,4.86,4.32
526000,4.83,4.30
543000,4.82,4.28
549000,4.82,4.26
562000,4.84,4.21
568000,4.87,4.15
581000,4.91,4.08
588000,4.95,4.00
595000,4.99,3.93
610000,5.02,3.87
617000,5.04,3.83
625000,5.04,3.80
641000,5.02,3.77
649000,5.04,3.73
667000,5.08,3.66
667000,5.09,3.58
676000,5.11,3.51
685000,5.17,3.44
704000,5.17,3.41
714000,5.17,3.39
725000,5.17,3.35
730000,5.17,3.21
741000,5.15,3.18
752000,5.15,3.16
763000,5.13,3.14
769000,5.12,3.07
781000,5.10,3.02
787000,5.08,3.05
800000,5.05,3.00
809000,5.03,2.98
820000,5.00,2.92
831000,4.98,2.87
840000,4.95,2.80
850000,4.92,2.76
859000,4.9,2.71
870000,4.88,2.67
883000,4.86,2.62
890000,4.84,2.57
903000,4.82,2.53
909000,4.82,2.50
919000,4.82,2.46
926000,4.82,2.54
943000,4.82,2.52
952000,4.82,2.50
962000,4.82,2.47
971000,4.82,2.44
980000,4.84,2.40
990000,4.85,2.37
1000000,4.86,2.34
1.01e6,4.89,2.30
1.02e6,4.91,2.27
1.03e6,4.92,2.24
1.04e6,4.95,2.21
1.05e6,4.97,2.19
1.06e6,5.00,2.17
1.07e6,5.00,2.16
1.08e6,5.03,2.14
1.09e6,5.04,2.13
1.10e6,5.07,2.12
1.11e6,5.08,2.11
1.12e6,5.08,2.10
1.13e6,5.08,2.09
1.14e6,5.08,2.07
1.15e6,5.08,2.05
1.16e6,5.08,2.02
1.17e6,5.07,1.99
1.18e6,5.06,1.97
1.19e6,5.05,1.94
1.20e5,5.04,1.92
1.21e6,5.02,1.90
1.22e6,5.00,1.89
1.23e6,5.00,1.88
1.24e6,4.93,1.87
1.25e6,4.93,1.86
1.26e6,4.97,1.85
1.27e6,4.97,1.84
1.28e6,4.99,1.83
1.29e6,5.00,1.82
1.30e6,5.02,1.80
1.31e6,5.04,1.79
1.32e6,5.04,1.77
1.33e6,5.04,1.75
1.34e6,5.08,1.73
1.35e6,5.09,1.71
1.36e6,5.10,1.70
1.37e6,5.13,1.68
1.38e6,5.13,1.67
1.39e6,5.13,1.66
1.40e6,5.13,1.65
1.41e6,5.13,1.64
1.42e6,5.13,1.64
1.43e6,5.13,1.63
1.44e6,5.13,1.63
1.45e6,5.13,1.62
1.46e6,5.13,1.62
1.47e6,5.13,1.61
1.48e6,5.13,1.60
1.49e6,5.13,1.58
1.5e6,5.12,1.57
1.6e6,5.03,1.50
1.7e6,4.9,1.42
1.8e6,4.79,1.38
1.9e6,4.77,1.3
2.0e6,4.83,1.22
2.1e6,4.93,1.08
2.2e6,5.02,0.919
2.3e6,5.03,0.737
2.4e6,5.00,0.566
2.5e6,4.90,0.429
2.6e6,4.81,0.317
2.7e6,4.77,0.235
2.8e6,4.82,0.170
2.9e6,4.89,0.128
3.0e6,4.96,0.097
3.1e6,5.00,0.071
3.2e6,4.98,0.052
3.3e6,4.92,0.036
3.4e6,4.85,0.025
3.5e6,4.80,0.018
3.6e6,4.80,0.013
3.7e6,4.83,0.012
3.8e6,4.89,0.012
3.9e6,4.92,0.012
4.0e6,4.93,0.012
